"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C9";"CP_Radial_D5.0mm_P2.50mm";2;"10uF 25V";;;
2;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"10uF 10V";;;
3;"C3,C4";"C_0805_HandSoldering";2;"100n";;;
4;"C7";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100n";;;
5;"C8";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"22p";;;
6;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
7;"D2";"D_SMA-SMB_Universal_Handsoldering";1;"V8PAL45 K";;;
8;"J1";"BARREL_JACK";1;"12V IN";;;
9;"J2";"DSUB-25_Male_Horizontal_Pitch2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"parallel port";;;
10;"J3";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"jtag";;;
11;"J4";"DSUB-25_Female_Horizontal_Pitch2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"programmer";;;
12;"JP1";"R_1206_HandSoldering";1;"pp_busy";;;
13;"L1";"L_Radial_D10.0mm_P5.00mm_Fastron_07P";1;"33uH";;;
14;"Q1";"TO-126_Vertical";1;"BD138";;;
15;"R1";"R_0805_HandSoldering";1;"10k";;;
16;"R2,R3,R5,R6,R7,R8";"R_0805_HandSoldering";6;"100k";;;
17;"R4";"R_0805_HandSoldering";1;"47k";;;
18;"R9";"R_0805_HandSoldering";1;"1k";;;
19;"R10";"R_0805_HandSoldering";1;"4k7";;;
20;"U1";"TO-220-3_Vertical";1;"R-78k5.0-1.0";;;
21;"U2";"PLCC44";1;"ATF1502AS-J";;;
22;"U3";"DIP-8_W7.62mm_Socket";1;"LM393";;;
